block_hash,validationPeriod
0xef7d5de0afa34c14052dd2d4279988cb2ee275efa9638ddfdaede1ed3f93b004,0 days 00:00:00.000136
0x2bd56a12f8163b1d2ee210b483664714bd6a6e41b3531e6649235a7eff8c4f70,0 days 00:00:00.000145
0x18924ba12f67f85e5b89f80f08ed1e270edcd5eac6e28b59acaa7413ea988ad0,0 days 00:00:00.000168
0x4f28dac2b6d03b8d2503ed51a25e1eba39410f7528a034e25041177698923745,0 days 00:00:00.000146
0xc2a6f86fef5c4e308312507586f7be0d87caca0453063c294e14295f9ce980d2,0 days 00:00:00.000144
0xbfe58dd2401cb12c5a7378d75cecc6cc9caaf1721e43d73ae3b46fef782cbe5d,0 days 00:00:00.000185
0xe9723bf847eea3fff98fa55597d86c5a6034140dd9fb36654143b7dd6f89408c,0 days 00:00:00.000151
0xcc71164720be2e5598f336dcd8ae9c9a822519fe36dd046dea8889d8728e8478,0 days 00:00:00.000174
0x3c6f2ef79959ee5a75c2babefbc481ed1a7d83dd5d60608a4da78847f0f9fd66,0 days 00:00:00.000108
0xe88ddb078cde1f805c4f91a6dee02afbe277e11fc7198dcdbe2c36f439c1f64d,0 days 00:00:00.000148
0x39cbc1100d61b2e803bb6fd5e696dca42e8722711453d304656e825f463eb2a0,0 days 00:00:00.000145
0x04c945522a43c26f232c52fb23040b580a8d86b7a6e42795c81d7af7cd9886c5,0 days 00:00:00.000031
0x945183b916d57254b3522b02b57ebe52d8cead6c9c84c6d9794df1f895bccbf9,0 days 00:00:00.000030
0xe7d740cabd18c63aa1301b6c394921ef82759fa21c089cf1048a02bf501c65fe,0 days 00:00:00.000031
0x6602d07c157716271584914db8c20e4ff85e6b00132539351fbe34072b179fd0,0 days 00:00:00.000031
0x51b234e6e48d87e21b8c7a730265c3c2d0973eab670be5e25537bd2b95c2eae5,0 days 00:00:00.000233
0x25b8d6951112074f52462cf8b30bdb3576edb98e483d4fe70c8f85cf908c3b27,0 days 00:00:00.000149
0x6babbb4c178369ca691440fe1c621a9876486ab13db09a84ead529dcc3efb3bf,0 days 00:00:00.000143
0x58f7660e14e90552c0a7b1cc3fe98a358d62c4682b532a6d5ad92bce5b9b8432,0 days 00:00:00.000050
0xc0fae90c30620d700f842148eb6a7fd1e87bb8e172b262c0ccbc94979bd7b67e,0 days 00:00:00.000158
0x4c02f5b4572201660aa37a5173d4a69134da491278f812c4b95d916ed9651adb,0 days 00:00:00.000150
0x902843d6d752ad2b6fd6d14451a9c4f0589641094a635520331a7bfcdc9aa4d6,0 days 00:00:00.000147
0x5c12ac24cbd8c25edd59a843b15c1947cfa6af3b1bdbe1f4fce16641003a8b34,0 days 00:00:00.000187
0x7e4f0b6a62e879d71dcdacbd55f059ca49dab42881945eed806bd652469de8ac,0 days 00:00:00.000144
0x9bc6f3358daaa55ae006c04f59583e2798c101251fe0b42197a11a179a2fc731,0 days 00:00:00.000176
0xc9a5a3f4bc594487164a009d41bc9287a93c77002f602dac95af1c2411ba81ff,0 days 00:00:00.000142
0xca911459af0cba8cee14b7083c2f8af9c460c771308ca720ad8b0a876ababbf5,0 days 00:00:00.000190
0x382a4ffc1bc754e1f6df363c6827cc944609eb0ecb0b9d71f674397e8374069f,0 days 00:00:00.000175
0x939892fe8c564523c5414826fcde6d4b1103ae9908360e923782c258f19664dc,0 days 00:00:00.000136
0xe3d0ccee306e93a4b099565d1b0a79f3f3cf37e5ebba5589433f3ccb18d647cf,0 days 00:00:00.000163
0x0ed13a817cb36444ca97a5cebb8d1d6c2f9559541f5f99be31ce32136b32ae7f,0 days 00:00:00.000141
0xd8cfffa2cd2f39236afba8ba10e2111dd3fc7c1a9401860d86ed4f6b22999534,0 days 00:00:00.000148
0xaa55bb905598ec732663d3bd5ca45ddc62e25eff1b066716c9af68abcba773eb,0 days 00:00:00.000030
